دانشكده درس 	دانشكده درس 	گروه آموزشي 	گروه آموزشي 	شماره و گروه درس	نام درس	کل	ع	ظر فيت	ثبت نام شده	تعداد ليست انتظار	جنسيت	نام استاد	زمان و مكان ارائه/ امتحان	توضيحات	امكان اخذ درس توسط ساير مراكز	حذف اضطراري
14	فني و مهندسي	11	برق	1411087_01	سيستم هاي كنترل مدرن	3	0	10	8	0	مختلط	احمديان پور رنجبر حسين<BR>	درس(ت): يك شنبه 17:30-19:30 مکان: ك201فني<BR> درس(ت): دوشنبه 15:30-17:30 مکان: كارگاه كامپيوترطبقه اول فني<BR> امتحان(1404.10.24) ساعت : 14:00-16:00<BR> 		-	امكان دارد
14	فني و مهندسي	11	برق	1411088_01	آزسيستمهاي كنترل ديجيتال	1	1	13	1	0	مختلط	اساتيد گروه آموزشي <BR>	درس(ع): دوشنبه 13:30-15:30<BR> 		-	امكان ندارد
14	فني و مهندسي	11	برق	1411092_01	مباحث ويژه	3	0	35	28	0	مختلط	حسن شاهي راويز حسن<BR>	درس(ت): شنبه 13:30-15:30 مکان: 232 فني و مهندسي<BR> درس(ت): دوشنبه 13:30-15:30 مکان: ك345فني<BR> امتحان(1404.10.29) ساعت : 14:00-16:00<BR> 		-	امكان دارد
14	فني و مهندسي	11	برق	1411100_01	سمينار	2	0	20	2	0	مختلط	اساتيد گروه آموزشي <BR>			-	امكان دارد
14	فني و مهندسي	11	برق	1411101_01	پايان نامه	6	0	20	3	0	مختلط	اساتيد گروه آموزشي <BR>			-	امكان ندارد
14	فني و مهندسي	11	برق	1411106_01	كنترل چند متغيره	3	0	7	6	0	مختلط	فاتحي مرج حسن<BR>	درس(ت): يك شنبه 08:00-10:00 مکان: دفتر گروه برق<BR> درس(ت): دوشنبه 08:00-10:00 مکان: دفتر گروه برق<BR> امتحان(1404.10.22) ساعت : 14:00-16:00<BR> 		-	امكان ندارد
14	فني و مهندسي	11	برق	1411110_01	كنترل غير خطي	3	0	25	8	0	مختلط	فياضي علي<BR>	درس(ت): يك شنبه 15:30-17:30 مکان: 232 فني و مهندسي<BR> درس(ت): دوشنبه 17:30-19:30 مکان: 232 فني و مهندسي<BR> امتحان(1404.10.17) ساعت : 08:00-10:00<BR> 		-	امكان ندارد
14	فني و مهندسي	11	برق	1411135_01	مباحث ويژه در كنترل 2	3	0	25	9	0	مختلط	فاتحي مرج حسن<BR>	درس(ت): يك شنبه 10:00-12:00 مکان: 124 فني و مهندسي<BR> درس(ت): دوشنبه 10:00-12:00 مکان: 124 فني و مهندسي<BR> امتحان(1404.10.20) ساعت : 14:00-16:00<BR> 		-	امكان ندارد
14	فني و مهندسي	11	برق	1411160_01	ريزموج و آنتن	3	0	25	24	0	مختلط	پژمان محمدمهدي<BR>	درس(ت): شنبه 17:30-19:30 مکان: 232 فني و مهندسي<BR> درس(ت): سه شنبه 17:30-19:30 مکان: 232 فني و مهندسي<BR> امتحان(1404.10.22) ساعت : 14:00-16:00<BR> 		-	امكان دارد
14	فني و مهندسي	11	برق	1411161_01	مخابرات ديجيتال	3	0	30	27	0	مختلط	قلي زاده محمد حسين<BR>	درس(ت): يك شنبه 08:00-10:00 مکان: 229 فني و مهندسي<BR> درس(ت): دوشنبه 08:00-10:00 مکان: ك244فني<BR> امتحان(1404.10.17) ساعت : 08:00-10:00<BR> 		-	امكان دارد
14	فني و مهندسي	11	برق	1411162_01	آز مخابرات ديجيتال	1	1	15	15	1	مختلط	حميدي راد حامد<BR>	درس(ع): چهارشنبه 13:30-15:30 مکان: آز آنالوگ<BR> 		-	امكان ندارد
14	فني و مهندسي	11	برق	1411164_01	آز پردازش سيگنال هاي ديجيتال	1	1	12	6	0	مختلط	نوري رحمت آباد حسين<BR>	درس(ع): يك شنبه 13:30-15:30 مکان: آزكنترل خطي<BR> 		-	امكان ندارد
14	فني و مهندسي	11	برق	1411178_01	فرآيندهاي تصادفي	3	0	10	5	0	مختلط	قلي زاده محمد حسين<BR>	درس(ت): يك شنبه 15:30-17:30 مکان: 124 فني و مهندسي<BR> درس(ت): دوشنبه 15:30-17:30 مکان: فني 114<BR> امتحان(1404.10.20) ساعت : 14:00-16:00<BR> 		-	امكان دارد
14	فني و مهندسي	11	برق	1411181_01	سيستم هاي مخابرات بي سيم	3	0	25	6	0	مختلط	نوري رحمت آباد حسين<BR>	درس(ت): يك شنبه 10:00-12:00 مکان: كارگاه كامپيوترطبقه اول فني<BR> درس(ت): دوشنبه 10:00-12:00 مکان: فني 245<BR> امتحان(1404.11.01) ساعت : 08:00-10:00<BR> 		-	امكان دارد
14	فني و مهندسي	11	برق	1411186_01	برنامه سازي كامپيوتر	3	0	10	1	0	مختلط	محققي ده رنجي ليلا<BR>	درس(ت): شنبه 17:30-19:30 مکان: 119 فني و مهندسي<BR> درس(ت): دوشنبه 17:30-19:30 مکان: 225 فني ومهندسي<BR> امتحان(1404.10.24) ساعت : 08:00-10:00<BR> 		-	امكان دارد
14	فني و مهندسي	11	برق	1411187_01	روش هاي محاسباتي در مهندسي برق	2	0	16	16	0	مختلط	رزاقيان سوده<BR>	درس(ت): شنبه 15:30-17:30 مکان: ك346فني<BR> امتحان(1404.10.17) ساعت : 14:00-16:00<BR> 		-	امكان دارد
14	فني و مهندسي	11	برق	1411187_02	روش هاي محاسباتي در مهندسي برق	2	0	8	8	0	مختلط	رزاقيان سوده<BR>	درس(ت): دوشنبه 15:30-17:30 مکان: سيصد و سي<BR> امتحان(1404.10.17) ساعت : 14:00-16:00<BR> 		-	امكان دارد
14	فني و مهندسي	11	برق	1411187_03	روش هاي محاسباتي در مهندسي برق	2	0	10	8	0	مختلط	عابديني نسب رضا<BR>	درس(ت): چهارشنبه 15:30-17:30 مکان: 120 فني و مهندسي<BR> امتحان(1404.10.17) ساعت : 14:00-16:00<BR> 		-	امكان دارد
14	فني و مهندسي	11	برق	1411191_01	هوش مصنوعي و تحول ديجيتال	2	1	32	33	0	مختلط	قيومي زاده حسين<BR>	درس(ت): دوشنبه 10:00-12:00 مکان: ك201فني<BR> امتحان(1404.10.24) ساعت : 08:00-10:00<BR> 		-	امكان دارد
14	فني و مهندسي	12	عمران	1412002_01	آب هاي زيرزميني	3	0	15	9	0	مختلط	دهقاني مجيد<BR>	درس(ت): شنبه 08:00-10:00 مکان: سيصد و سي<BR> درس(ت): يك شنبه 08:00-09:00 مکان: 125 فني و مهندسي<BR> حل تمرين(ت): يك شنبه 09:00-10:00 مکان: 125 فني و مهندسي<BR> امتحان(1404.11.01) ساعت : 10:30-12:30<BR> 		-	امكان دارد
14	فني و مهندسي	12	عمران	1412008_01	ماشين آلات راهسازي	2	0	20	15	0	مختلط	ربيعي علي<BR>	درس(ت): شنبه 10:00-12:00 مکان: 120 فني و مهندسي<BR> امتحان(1404.10.18) ساعت : 10:30-12:30<BR> 		-	امكان دارد
14	فني و مهندسي	12	عمران	1412028_01	مهندسي محيط زيست	2	0	30	30	0	مختلط	مرتضوي مهدي آباد سيد مصطفي<BR>	درس(ت): يك شنبه 15:30-17:30 مکان: 125 فني و مهندسي<BR> امتحان(1404.11.01) ساعت : 14:00-16:00<BR> 		-	امكان دارد
14	فني و مهندسي	12	عمران	1412028_02	مهندسي محيط زيست	2	0	30	21	0	مختلط	مرتضوي مهدي آباد سيد مصطفي<BR>	درس(ت): يك شنبه 17:30-19:30 مکان: 119 فني و مهندسي<BR> امتحان(1404.11.01) ساعت : 14:00-16:00<BR> 		-	امكان دارد
14	فني و مهندسي	12	عمران	1412032_01	زبان تخصصي	2	0	16	11	0	مختلط	ناصرعلوي سيد صادق<BR>	درس(ت): چهارشنبه 10:00-12:00 مکان: 229 فني و مهندسي<BR> امتحان(1404.10.24) ساعت : 10:30-12:30<BR> 		-	امكان دارد
14	فني و مهندسي	12	عمران	1412033_01	رسم فني و نقشه كشي ساختمان	2	1	21	21	0	مختلط	محققي دررنجي محدثه<BR>	درس(ت): چهارشنبه 15:30-17:30 مکان: كارگاه نقشه كشي فني و مهندسي<BR> امتحان(1404.11.01) ساعت : 08:00-10:00<BR> 	سالن همكف دانشكده رياضي ساختمان فخري زاده	-	امكان دارد
14	فني و مهندسي	12	عمران	1412033_02	رسم فني و نقشه كشي ساختمان	2	1	26	25	0	مختلط	محققي دررنجي محدثه<BR>	درس(ت): چهارشنبه 13:30-15:30 مکان: كارگاه نقشه كشي فني و مهندسي<BR> امتحان(1404.11.01) ساعت : 08:00-10:00<BR> 	سالن همكف دانشكده رياضي ساختمان فخري زاده	-	امكان دارد
14	فني و مهندسي	12	عمران	1412034_01	نقشه برداري1 وعمليات	2	1	17	16	0	مختلط	مرتضوي مهدي آباد سيد مصطفي<BR>	درس(ت): دوشنبه 13:30-15:30 مکان: 125 فني و مهندسي<BR> امتحان(1404.10.22) ساعت : 14:00-16:00<BR> 		-	امكان دارد
14	فني و مهندسي	12	عمران	1412034_02	نقشه برداري1 وعمليات	2	1	16	16	0	مختلط	مرتضوي مهدي آباد سيد مصطفي<BR>	درس(ت): چهارشنبه 13:30-15:30 مکان: 229 فني و مهندسي<BR> امتحان(1404.10.22) ساعت : 14:00-16:00<BR> 		-	امكان دارد
14	فني و مهندسي	12	عمران	1412034_03	نقشه برداري1 وعمليات	2	1	16	14	0	مختلط	مرتضوي مهدي آباد سيد مصطفي<BR>	درس(ت): سه شنبه 13:30-15:30 مکان: ك345فني<BR> امتحان(1404.10.22) ساعت : 14:00-16:00<BR> 		-	امكان دارد
14	فني و مهندسي	12	عمران	1412038_01	استاتيك	3	0	25	24	0	مختلط	ايرانمنش افشين<BR>	درس(ت): شنبه 15:30-17:30 مکان: ك345فني<BR> درس(ت): چهارشنبه 08:00-09:00 مکان: ك345فني<BR> حل تمرين(ت): چهارشنبه 09:00-10:00 مکان: ك345فني<BR> امتحان(1404.10.30) ساعت : 10:30-12:30<BR> 		-	امكان دارد
14	فني و مهندسي	12	عمران	1412038_02	استاتيك	3	0	20	14	0	مختلط	ايرانمنش افشين<BR>	درس(ت): يك شنبه 10:00-12:00 مکان: ك345فني<BR> درس(ت): چهارشنبه 10:00-11:00 مکان: ك345فني<BR> حل تمرين(ت): چهارشنبه 11:00-12:00 مکان: ك345فني<BR> امتحان(1404.10.30) ساعت : 10:30-12:30<BR> 		-	امكان دارد
14	فني و مهندسي	12	عمران	1412039_01	ديناميك	3	0	10	1	0	مختلط	اساتيد گروه آموزشي <BR>	درس(ت): سه شنبه 15:30-17:30<BR> امتحان(1404.10.17) ساعت : 10:30-12:30<BR> 		-	امكان دارد
